iter	Passed	Remaining
585	9325	6588
586	9343	6574
587	9355	6555
588	9366	6535
589	9378	6517
590	9396	6502
591	9414	6488
592	9433	6474
593	9450	6459
594	9462	6440
595	9472	6421
596	9484	6402
597	9502	6387
598	9519	6372
599	9537	6358
600	9555	6343
601	9566	6324
602	9578	6306
603	9590	6287
604	9605	6271
605	9623	6257
606	9642	6242
607	9659	6227
608	9671	6209
609	9684	6191
610	9696	6173
611	9710	6156
612	9729	6142
613	9747	6127
614	9765	6113
615	9778	6095
616	9789	6076
617	9802	6059
618	9816	6041
619	9834	6027
620	9852	6013
621	9871	5998
622	9884	5981
623	9896	5963
624	9909	5945
625	9923	5929
626	9943	5915
627	9961	5900
628	9980	5886
629	9993	5869
630	10004	5850
631	10016	5832
632	10029	5815
633	10046	5799
634	10067	5786
635	10085	5771
636	10098	5754
637	10110	5736
638	10123	5719
639	10135	5701
640	10154	5687
641	10173	5673
642	10192	5659
643	10207	5642
644	10219	5624
645	10231	5606
646	10245	5589
647	10263	5575
648	10282	5560
649	10299	5546
650	10314	5529
651	10327	5512
652	10338	5494
653	10351	5476
654	10369	5461
655	10387	5447
656	10405	5432
657	10420	5415
658	10432	5398
659	10444	5380
660	10456	5362
661	10474	5348
662	10493	5333
663	10511	5319
664	10525	5302
665	10536	5283
666	10548	5266
667	10558	5247
668	10578	5233
669	10595	5218
670	10616	5205
671	10631	5189
672	10642	5171
673	10655	5153
674	10668	5136
675	10687	5122
676	10704	5107
677	10724	5093
678	10739	5076
679	10750	5059
680	10762	5041
681	10776	5024
682	10795	5010
683	10813	4995
684	10831	4980
685	10846	4964
686	10859	4947
687	10872	4930
688	10886	4913
689	10904	4898
690	10924	4885
691	10944	4871
692	10958	4854
693	10972	4837
694	10985	4821
695	11001	4805
696	11023	4791
697	11045	4778
698	11066	4765
699	11078	4748
700	11089	4729
701	11100	4711
702	11115	4695
703	11133	4681
704	11152	4666
705	11171	4652
706	11183	4634
707	11196	4617
708	11214	4603
709	11234	4588
710	11253	4574
711	11272	4559
712	11292	4545
713	11311	4530
714	11330	4516
715	11349	4501
716	11367	4486
717	11386	4472
718	11399	4455
719	11411	4437
720	11423	4420
721	11436	4403
722	11455	4389
723	11475	4374
724	11494	4359
725	11506	4342
726	11518	4325
727	11529	4307
728	11547	4292
729	11566	4278
730	11583	4262
731	11600	4247
732	11612	4229
733	11625	4212
734	11636	4195
735	11655	4180
736	11672	4165
737	11692	4150
738	11709	4135
739	11721	4118
740	11733	4101
741	11750	4085
742	11769	4071
743	11788	4056
744	11805	4040
745	11818	4023
746	11830	4006
747	11842	3989
748	11857	3973
749	11874	3958
750	11891	3942
751	11908	3927
752	11919	3909
753	11932	3892
754	11949	3877
755	11967	3862
756	11985	3847
757	12002	3831
758	12018	3816
759	12031	3799
760	12041	3781
761	12053	3764
762	12071	3749
763	12089	3734
764	12105	3718
765	12121	3703
766	12133	3686
767	12145	3668
768	12162	3653
769	12181	3638
770	12198	3623
771	12217	3608
772	12236	3593
773	12247	3576
774	12260	3559
775	12272	3542
776	12288	3526
777	12306	3511
778	12324	3496
779	12343	3481
780	12356	3464
781	12369	3448
782	12381	3431
783	12396	3415
784	12416	3400
785	12435	3385
786	12453	3370
787	12465	3353
788	12476	3336
789	12488	3319
790	12506	3304
791	12524	3289
792	12543	3274
793	12559	3258
794	12571	3241
795	12584	3225
796	12596	3208
797	12612	3192
798	12631	3177
799	12648	3162
800	12665	3146
801	12677	3129
802	12689	3113
803	12706	3097
804	12724	3082
805	12743	3067
806	12761	3052
807	12775	3035
808	12787	3019
809	12805	3003
810	12824	2988
811	12842	2973
812	12861	2958
813	12876	2942
814	12889	2925
815	12901	2909
816	12912	2892
817	12931	2877
818	12950	2862
819	12969	2846
820	12985	2831
821	12997	2814
822	13011	2798
823	13023	2781
824	13040	2766
825	13059	2751
826	13079	2736
827	13093	2719
828	13105	2703
829	13117	2686
830	13131	2670
831	13149	2655
832	13167	2639
833	13186	2624
834	13199	2608
835	13210	2591
836	13222	2575
837	13238	2559
838	13256	2543
839	13273	2528
840	13292	2513
841	13310	2497
842	13321	2480
843	13333	2464
844	13345	2447
845	13361	2432
846	13380	2416
847	13396	2401
848	13414	2385
849	13426	2369
850	13438	2352
851	13449	2336
852	13465	2320
853	13483	2305
854	13501	2289
855	13520	2274
856	13534	2258
857	13545	2241
858	13558	2225
859	13577	2210
860	13596	2195
861	13615	2179
862	13632	2164
863	13645	2147
864	13657	2131
865	13668	2114
866	13684	2099
867	13699	2083
868	13716	2067
869	13734	2052
870	13746	2035
871	13760	2019
872	13771	2003
873	13786	1987
874	13803	1971
875	13821	1956
876	13838	1940
877	13852	1924
878	13863	1908
879	13875	1892
880	13888	1875
881	13906	1860
882	13923	1844
883	13941	1829
884	13956	1813
885	13968	1797
886	13981	1781
887	13991	1764
888	14008	1749
889	14027	1733
890	14046	1718
891	14063	1702
892	14075	1686
893	14087	1670
894	14101	1654
895	14119	1638
896	14139	1623
897	14157	1608
898	14171	1592
899	14183	1575
900	14194	1559
901	14208	1543
902	14226	1528
903	14244	1512
904	14261	1497
905	14275	1481
906	14286	1464
907	14299	1448
908	14313	1432
909	14331	1417
910	14347	1401
911	14365	1386
912	14380	1370
913	14392	1354
914	14403	1338
915	14415	1321
